Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"TAMAN BUKIT INDAHIskandar Puteri (Nusajaya), Johor",Freehold,Terrace House,"RM650,000",RM410,318,
"BANDAR PUTRAKulai, Johor",Freehold,Terrace House,"RM450,000",RM296,259,
"TAMAN KOTA MASAIPasir Gudang, Johor",Freehold,Terrace House,"RM300,000",RM323,251,
"BANDAR BARU SETIA AWAN PERDANASitiawan, Perak",Freehold,Cluster House,"RM244,000",RM136,233,
"BANDAR BUKIT RAJAKapar, Selangor",Freehold,Terrace House,"RM785,000",RM500,225,
"TAMAN JOHOR JAYAJohor Bahru, Johor",Freehold,"Terrace House, Semi D","RM430,000",RM304,201,
"TAMAN UNIVERSITISkudai, Johor",Freehold,Terrace House,"RM380,000",RM292,179,
"BANDAR BARU PERMAS JAYAPermas Jaya, Johor",Freehold,Terrace House,"RM492,500",RM364,178,
"TAMAN SCIENTEXPasir Gudang, Johor",Freehold,"Terrace House, Cluster House","RM380,000",RM376,169,
"TAMAN SENTOSAKlang, Selangor",Freehold,Terrace House,"RM440,000",RM346,169,
"ALAM IMPIANShah Alam, Selangor",Freehold,"Terrace House, Cluster House","RM820,400",RM530,168,
"TAMAN PULAI MUTIARA 2Skudai, Johor",Freehold,"Cluster House, Terrace House","RM631,800",RM282,166,
"BUKIT SENTOSASerendah, Selangor",Freehold,Terrace House,"RM300,000",RM229,163,
"TAMAN MUTIARA RINISkudai, Johor","Leasehold, Freehold",Terrace House,"RM650,000",RM377,151,
"HORIZON HILLSIskandar Puteri (Nusajaya), Johor",Freehold,"Terrace House, Cluster House","RM920,000",RM470,148,
"TAMAN LAGENDA TELUK INTANTeluk Intan, Perak",Leasehold,"Terrace House, Cluster House","RM235,400",RM125,146,
"TAMAN SETIA INDAHTebrau, Johor","Freehold, Leasehold","Terrace House, Cluster House","RM500,000",RM358,146,
"BANDAR KINRARABandar Kinrara, Selangor",Freehold,Terrace House,"RM1,080,000",RM536,145,
"TAMAN SCIENTEX (BUKIT TAMBUN PERDANA)Durian Tunggal, Melaka",Freehold,Terrace House,"RM205,000",RM188,134,
"TAMAN PERLINGPerling, Johor",Freehold,"Terrace House, Semi D","RM480,000",RM288,127,
"TAMAN PUTERI WANGSAUlu Tiram, Johor",Freehold,Terrace House,"RM422,500",RM279,120,
"TAMAN IMPIAN EMASTebrau, Johor",Freehold,Terrace House,"RM674,000",RM286,120,
"TAMAN LAGENDA TROPIKA TAPAHChenderiang, Perak",Freehold,"Cluster House, Terrace House","RM169,000",RM130,117,
"TAMAN ADDATebrau, Johor",Freehold,"Cluster House, Terrace House, Semi D","RM588,000",RM416,115,
"BANDAR BARU SERI ALAMMasai, Johor",Freehold,Terrace House,"RM550,000",RM350,112,
"ELMINA WESTShah Alam, Selangor",Freehold,Terrace House,"RM988,888",RM547,112,
"BUKIT BERUNTUNGSerendah, Selangor",Freehold,Terrace House,"RM317,500",RM222,110,
"SETIA TROPIKATampoi, Johor",Freehold,"Terrace House, Semi D","RM805,000",RM444,110,
"TAMAN UNGKU TUN AMINAHSkudai, Johor",Freehold,Terrace House,"RM460,000",RM296,108,
"BANDAR DATO' ONNTebrau, Johor",Freehold,Terrace House,"RM700,000",RM418,107,
"TAMAN DAYATebrau, Johor",Freehold,Terrace House,"RM480,000",RM297,106,
"TAMAN TASEK GELUGOR UTAMA (SCIENTEX)Tasek Gelugor, Penang",Freehold,Terrace House,"RM308,800",RM284,106,
"Flat Taman Ungku Tun AminahSkudai, Johor",Freehold,Flat,"RM130,000",RM263,104,
"TAMAN SKUDAI BARUSkudai, Johor","Freehold, Leasehold",Terrace House,"RM450,000",RM312,101,
"BANDAR BARU SRI KLEBANGChemor, Perak",Freehold,Terrace House,"RM430,000",RM214,99,
"TAMAN PULAI INDAHSkudai, Johor",Freehold,Terrace House,"RM460,000",RM308,98,
"BANDAR MAHKOTA CHERASCheras, Selangor",Freehold,Terrace House,"RM588,000",RM444,97,
"TAMAN PUTERA INDAHBatu Pahat, Johor",Freehold,"Terrace House, Semi D","RM350,000",RM206,96,
"BANDAR BARU SRI PETALINGSri Petaling, Kuala Lumpur",Leasehold,Terrace House,"RM750,000",RM467,95,
"KOTA KEMUNINGShah Alam, Selangor",Freehold,"Semi D, Bungalow","RM885,000",RM411,94,
"BANDAR TASIK PUTERIRawang, Selangor",Leasehold,"Semi D, Terrace House","RM370,000",RM247,93,
"BANDAR PUCHONG JAYAPuchong, Selangor",Freehold,Terrace House,"RM750,000",RM520,93,
"TAMAN MEGAH RIAMasai, Johor",Freehold,"Terrace House, Semi D","RM437,500",RM238,92,
"TAMAN RINTINGMasai, Johor",Freehold,Terrace House,"RM380,000",RM247,91,
"BANDAR COUNTRY HOMESRawang, Selangor",Freehold,"Terrace House, Bungalow","RM450,000",RM307,90,
"BANDAR BARU SRI DAMANSARABandar Sri Damansara, Selangor",Freehold,Terrace House,"RM900,000",RM553,90,
"BANDAR SRI ASTANASungai Petani, Kedah",Freehold,"Terrace House, Semi D","RM240,000",RM161,89,
"TAMAN SRI GOMBAKBatu Caves, Selangor",Freehold,Terrace House,"RM470,000",RM552,89,
"BANDAR BARU KANGKAR PULAIKulai, Johor",Leasehold,Terrace House,"RM488,000",RM348,89,
"Ladang Tok PelamKuala Terengganu, Terengganu",Leasehold,Apartment,"RM232,200",RM276,89,
"TAMAN PUTRI KULAIKulai, Johor",Freehold,Terrace House,"RM400,000",RM258,88,
"TAMAN BESTARI INDAHUlu Tiram, Johor",Freehold,"Terrace House, Semi D","RM555,000",RM405,88,
"CALEDONIAIjok, Selangor",Freehold,Terrace House,"RM594,800",RM396,85,
"OUG ParklaneJalan Klang Lama (Old Klang Road), Kuala Lumpur",Freehold,Service Residence,"RM499,000",RM525,84,
"BANDAR UTAMABandar Utama, Selangor",Freehold,Terrace House,"RM1,420,000",RM808,83,
"PRIMA @ SITIAWANSitiawan, Perak",Freehold,Terrace House,"RM270,610",RM193,83,
"BANDAR PUTERI KLANGKlang, Selangor",Freehold,Terrace House,"RM680,000",RM424,83,
"TAMAN PELANGIJohor Bahru, Johor",Freehold,"Terrace House, Semi D","RM580,000",RM285,83,
"TAMAN SERI AUSTINTebrau, Johor",Freehold,Terrace House,"RM650,000",RM422,83,
"TAMAN PELANGI INDAHUlu Tiram, Johor",Freehold,Terrace House,"RM590,000",RM280,82,
"SS2 PETALING JAYAPetaling Jaya, Selangor",Freehold,Terrace House,"RM1,120,000",RM615,81,
"TAMAN PUTRA PRIMAPuchong, Selangor",Freehold,Terrace House,"RM865,000",RM499,80,
"TAMAN DESA TEBRAUTebrau, Johor",Freehold,Terrace House,"RM820,000",RM428,79,
"BANDAR SAUJANA PUTRATanjong Duabelas, Selangor",Leasehold,"Terrace House, Town House","RM450,000",RM332,79,
"KUALA BERANGHulu Terengganu, Terengganu",Leasehold,Semi D,"RM90,000",RM22,77,
"PUNCAK ALAMBandar Puncak Alam, Selangor",Leasehold,"Terrace House, Cluster House","RM390,000",RM286,77,
"TAMAN IMPIANA KESANGBemban, Melaka",Leasehold,Terrace House,"RM299,800",RM174,76,
"INDAHPURAKulai, Johor",Freehold,Terrace House,"RM468,000",RM302,75,
"TAMAN HIJAUAN VALDORSungai Bakap, Penang",Freehold,"Terrace House, Semi D","RM523,660",RM251,73,
"TAMAN MOUNT AUSTINTebrau, Johor",Freehold,Terrace House,"RM600,000",RM406,73,
"Green GardenAyer Itam, Penang",Freehold,Flat,"RM177,500",RM327,72,
"TAMAN KLANG UTAMAKapar, Selangor",Freehold,Terrace House,"RM400,000",RM385,71,
"TAMAN CENTURYJohor Bahru, Johor",Freehold,Terrace House,"RM530,000",RM319,71,
"PULAU INDAHKlang, Selangor",Freehold,"Terrace House, Semi D","RM348,700",RM259,71,
"SCIENTEX JASIN MUTIARABemban, Melaka",Freehold,Terrace House,"RM303,300",RM256,70,
"PUTRA HEIGHTSSubang Jaya, Selangor",Freehold,"Semi D, Terrace House","RM815,000",RM430,70,
"TAMAN DESA CEMERLANGUlu Tiram, Johor",Freehold,Terrace House,"RM430,000",RM322,70,
"TAMAN SRI IMPIAN / BANDAR SRI IMPIANKluang, Johor",Freehold,Terrace House,"RM379,000",RM179,70,
"The Scott Garden SOHOJalan Klang Lama (Old Klang Road), Kuala Lumpur",Freehold,Service Residence,"RM650,000",RM851,70,
"Flora Damansara ApartmentDamansara Perdana, Selangor",Leasehold,Apartment,"RM360,000",RM424,69,
"TAMAN TUN DR ISMAILTaman Tun Dr Ismail, Kuala Lumpur","Leasehold, Freehold",Terrace House,"RM1,610,000",RM740,68,
"LA CASA LUNASLunas, Kedah",Freehold,Semi D,"RM516,888",RM227,67,
"TAMAN PULAI MUTIARASkudai, Johor",Freehold,Terrace House,"RM500,000",RM422,67,
"S2 HEIGHTSSeremban 2, Negeri Sembilan",Freehold,Terrace House,"RM675,000",RM375,66,
"TAMAN SENTOSAJohor Bahru, Johor",Freehold,"Semi D, Terrace House","RM580,000",RM287,66,
"TAMAN NUSANTARAIskandar Puteri (Nusajaya), Johor",Freehold,Terrace House,"RM390,000",RM353,65,
"TAMAN KLUANG PERDANAKluang, Johor",Freehold,"Terrace House, Semi D","RM150,000",RM107,65,
"TAMAN MOLEKJohor Bahru, Johor",Freehold,Terrace House,"RM500,000",RM305,65,
"BUKIT BANYANSungai Petani, Kedah",Freehold,Terrace House,"RM499,900",RM278,63,
"BANDAR TASEK MUTIARASimpang Ampat, Penang",Freehold,"Semi D, Terrace House","RM370,000",RM263,63,
"BANDAR TASIK SENANGINLenggeng, Negeri Sembilan","Freehold, Leasehold","Bungalow, Terrace House","RM448,920",RM108,63,
"BANDAR PUTERA 2Klang, Selangor",Leasehold,Terrace House,"RM400,000",RM317,63,
"BANDAR RINCHINGSemenyih, Selangor",Freehold,Terrace House,"RM370,000",RM288,62,
"ECO MAJESTICBeranang, Selangor",Freehold,Terrace House,"RM810,000",RM426,62,
"SEKSYEN 30 SHAH ALAMShah Alam, Selangor",Freehold,"Terrace House, Bungalow","RM509,600",RM298,62,
